Unnamed: 0,index,Global_Idx,Block,Local_Idx,Speaker,Pulse_Samp,Pulse_Time,EstimatedTimeOut,MCS_Time,est_frame_time,closest_frame,frame,blue_x,red_x,blue_y,red_y,head_x,head_y,blue_zero_x,blue_zero_y,head_angle,speak_xpix,speak_ypix,h2s_x,h2s_y,h2s_distance,h2s_theta,A18,B03,B01,B08,A19,B25,A21,B15,B20,A15,A01,B18,A16,B32,A23,B10,B31,A13,A25,A10,A28,A30,A12,A32,A02,A31,B17,A07,B07,B13,B09,B12,B19,A14,B22,B02,B23,A20,B04,B27,A22,B11,A03,B24,A29,A04,B16,A11,B06,B21,B29,B26,A05,A09,A06,B30,A24,A27,A08,B14,A26,B05,B28,A17
40,331,332,3,83,21,2410283,54.654943,236.647943,254.3902,248.7512,6219,6219,390.442745413459,380.584320250853,185.724279472424,296.817302763322,385.513532832156,241.270791117873,4.929212581303034,-55.54651164544899,-3.0530842249690746,268.5,160.5,123.69507073365672,70.11146154420668,142.18328862306257,0.5156566295441927,3,3,0,0,1,0,0,1,0,0,0,0,5,0,0,5,0,3,4,0,0,1,5,0,0,0,4,0,2,0,1,0,0,2,0,0,1,0,0,1,5,5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0
41,344,345,4,13,21,421179,9.550544,251.918544,269.6577,264.0187,6600,6600,400.722538089329,396.675710815561,199.535415151736,209.700520555663,398.699124452445,204.6179678536995,2.0234136368840154,-5.082552701963493,-2.7627168889758997,268.5,160.5,137.28372551970773,-7.168389160255886,137.47074996421358,-0.0521684919757028,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,5,0,0,3,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
42,422,423,5,8,21,233633,5.2978,307.9788,325.777,320.138,8003,8003,236.683783459519,242.618397952712,430.917160066437,295.90128385436,239.6510907061155,363.4092219603985,-2.967307246596505,67.50793810603852,0.0439266634403694,268.5,160.5,19.91082204796405,-203.9803203483006,204.9497790289637,-1.473493095290069,6,0,0,0,0,1,1,0,0,1,1,0,2,0,1,15,5,3,0,1,1,3,6,2,0,3,0,0,0,0,0,0,0,3,1,0,1,0,1,0,3,10,1,0,1,0,1,0,0,0,8,0,0,2,0,0,0,2,0,1,2,0,0,0
43,451,452,5,37,21,1097508,24.886803,327.567803,345.36605,339.72705,8493,8493,211.194111734603,229.380599408423,341.910381899223,337.162088930553,220.287355571513,339.536235414888,-9.093243836909975,2.3741464843350286,1.3154084380632036,268.5,160.5,-161.0497494189217,-91.87715105740624,185.4142191805227,-2.6231549283081383,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,13,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
44,502,503,6,5,21,160844,3.647256,366.749256,384.4985,378.8595,9471,9471,382.903009051742,375.994181248874,386.396899209512,378.866255132368,379.448595150308,382.63157717094,3.454413901434009,3.765322038572037,-0.7423611101619317,268.5,160.5,68.41234605548712,-238.68761855081735,248.2982648797132,-1.2916606680396376,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,1,1,3,3,0,0,9,3,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,1,0,0,0,0
45,509,510,6,12,21,396028,8.980227,372.082227,389.8315,384.1925,9605,9605,388.004875375793,377.906762656006,384.792890066333,381.349079852687,382.95581901589946,383.07098495951,5.049056359893541,1.7219051068229874,-1.242130330589996,268.5,160.5,173.71346936592658,-180.1710532058356,250.27580356967545,-0.8036438532324823,4,2,0,0,1,4,0,0,0,0,0,0,4,3,0,1,4,2,3,0,0,7,0,0,0,0,1,0,0,1,2,0,0,5,7,0,5,0,2,2,4,3,0,5,0,0,7,1,2,3,10,6,0,1,0,6,0,3,0,0,0,0,6,0
46,533,534,6,36,21,1085926,24.624172,387.726172,405.4755,399.8365,9996,9996,311.58425683849,319.912957971548,351.626504366573,355.408703666706,315.748607405019,353.5176040166395,-4.164350566529038,-1.891099650066508,1.9970681288626828,268.5,160.5,-156.2088425440069,122.82924681483448,198.71644713520283,2.4752525370460376,1,0,0,0,1,0,1,0,0,1,1,0,2,0,0,12,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,3,5,2,0,0,0,0,0,0,1,0,2,0,3,0,0,0,3,0,1,0,0,0,0
47,543,544,6,46,21,1356584,30.761542,393.863542,411.6129,405.9739,10149,10149,312.859988105003,320.492769355036,356.033626738859,359.371140576828,316.6763787300195,357.7023836578435,-3.8163906250164814,-1.6687569189844569,1.983005737902542,268.5,160.5,-161.38316988752516,123.14713177710546,203.0018314889636,2.4897772211143683,6,0,0,0,5,0,1,1,0,0,0,0,0,0,1,0,1,2,3,0,1,1,2,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,2,7,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0
48,590,591,7,10,21,324159,7.350544,430.762544,448.481,442.842,11071,11071,289.027604386255,282.57212310745,421.528991727391,298.587665783389,285.7998637468525,360.05832875539,3.227740639402498,61.47066297200098,-0.0524604570519937,268.5,160.5,-6.811943855386123,-200.19093206790123,200.30679434633257,-1.6048104378942585,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,14,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,4,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,0,0,0,0,0,0
49,722,723,8,59,21,1701969,38.593401,522.279401,540.0031,534.3641,13359,13359,378.144479254029,385.917308213136,209.399357149981,206.697540149025,382.0308937335825,208.048448649503,-3.88641447955348,1.350908500477999,1.2362632957129414,268.5,160.5,-82.18792542118183,91.62567170767522,123.08581884571603,2.301949668340102,10,0,0,0,23,0,14,4,0,17,23,0,22,1,23,0,7,16,22,20,16,17,14,16,21,21,0,24,0,0,0,0,0,14,1,0,1,18,0,3,16,5,25,0,18,19,0,18,0,3,9,2,22,18,17,2,20,20,21,3,13,0,0,16
50,758,759,9,12,21,391182,8.87034,552.85334,570.55915,564.92015,14123,14123,203.869862313843,220.963143299574,263.838245290303,284.945457007876,212.41650280670848,274.39185114908946,-8.546640492865492,-10.553605858786456,2.4608856908654126,268.5,160.5,-115.26104716008888,53.21281258452753,126.9516144662851,2.7090746926810594,2,0,0,0,1,0,2,6,0,0,2,0,2,0,2,14,0,1,11,1,1,5,4,2,0,6,2,5,1,0,0,0,0,6,0,0,0,1,0,1,6,7,3,0,1,2,0,3,0,0,0,1,0,1,1,0,3,9,0,0,2,0,0,1
51,829,830,9,83,21,2383629,54.050544,598.033544,615.7395,610.1005,15253,15253,408.185592995076,397.568386741204,398.202810838379,399.239574542718,402.87698986814,398.7211926905485,5.3086031269360205,-0.5183818521695116,-1.6681371041621351,268.5,160.5,250.1531974968649,-110.58883232507768,273.5077915762723,-0.4162518660915602,3,1,0,0,2,0,0,0,0,0,0,0,3,0,0,16,0,1,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,1,7,6,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0
52,210,211,2,45,43,1328282,30.119773,151.826773,169.5758,163.9368,4098,4098,269.463506713541,263.73990772406,409.399028492358,295.365371506498,266.60170721880047,352.382199999428,2.861799494740524,57.01682849293002,-0.0501501047070767,274.7,399.1,5.746190572927514,47.06502392183685,47.41450392931972,1.449307125294873,3,1,2,0,2,0,0,0,0,0,0,0,4,0,0,13,0,1,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0
53,239,240,2,74,43,2152177,48.8022,170.5092,188.25825,182.61925,4565,4565,263.992162429515,259.569971795736,413.661290918698,420.795317053245,261.7810671126255,417.2283039859715,2.211095316889498,-3.5670130672734786,-2.58668862222264,274.7,399.1,-1.4293503366212144,22.214661599301373,22.26059820301948,1.6350504106455954,5,1,1,0,1,0,1,0,0,0,0,0,4,0,0,0,1,1,4,0,0,1,9,1,0,0,1,3,0,1,0,0,0,2,0,1,0,2,0,2,4,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0
54,341,342,4,10,43,316405,7.174717,249.542717,267.2819,261.6429,6541,6541,401.400332228294,396.836384423795,200.103614286255,209.194498161262,399.1183583260445,204.6490562237585,2.281973902249547,-4.545441937503512,-2.6763178501735654,274.7,399.1,23.948480075566074,-229.60306558512943,230.84864613858804,-1.4668682931488757,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,5,3,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0
55,420,421,5,6,43,166853,3.783515,306.464515,324.2627,318.6237,7966,7966,239.70530471648,245.906323285213,425.143353901213,299.885318697978,242.8058140008465,362.5143362995954,-3.100509284366524,62.629017601617534,0.0494655699703914,274.7,399.1,33.66416670506571,34.96389236056595,48.53606791807199,0.8043345913542794,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0,0,1,0,5,0,0,0,6,1,0,0,0,0,0,0,0,0,0,3,3,0,1,0,0,0,6,5,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,2,0,0,0,0,1,0
56,442,443,5,28,43,800633,18.154943,320.835943,338.6342,332.9952,8325,8325,238.352399528875,243.35130138986,433.235248179365,299.216683013973,240.85185045936748,366.22596559666897,-2.499450930492486,67.00928258269602,0.0372827859489781,274.7,399.1,35.04997936531289,31.589528514486474,47.18473657101853,0.7335168454680585,3,1,1,1,2,0,0,1,0,0,0,0,2,0,0,0,0,1,7,0,0,1,4,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,1,0,2,11,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,1,0,0,0,0
57,446,447,5,32,43,926197,21.0022,323.6832,341.48145,335.84245,8396,8396,237.623421069033,232.293869251099,428.805463757239,296.70657684499,234.958645160066,362.7560203011145,2.664775908966988,66.0494434561245,-0.040323299220953,274.7,399.1,38.2439380674457,37.91650492806431,53.8540634016278,0.78109893522669,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,1,4,1,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,10,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0
58,501,502,6,4,43,136177,3.087914,366.189914,383.93915,378.30015,9458,9458,387.835556880128,379.589906981363,388.124720801737,380.822261343744,383.7127319307455,384.4734910727405,4.122824949382505,3.6512297289964977,-0.8459866245387571,274.7,399.1,-83.2244564524506,-71.91244909331029,109.9895926276836,-2.4289819626127374,3,1,0,0,1,0,0,0,0,0,0,0,3,0,0,6,0,1,6,0,0,4,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,4,0,2,0,0,0,0
59,580,581,6,83,43,2380479,53.979116,417.081116,434.8305,429.1915,10730,10730,295.980687173008,296.006893943336,420.45905939569,296.110777890642,295.993790558172,358.284918643166,-0.0131033851640154,62.17414075252401,0.0002107529724,274.7,399.1,-21.285188185619816,40.81956818001663,46.03581630100932,2.0514529310547904,2,0,1,0,3,0,0,1,0,0,0,0,1,0,0,15,4,2,5,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,2,1,1,0,0,0,6,5,1,0,0,0,0,0,0,0,5,2,0,1,0,0,0,0,0,1,0,0,0,0
60,585,586,7,5,43,167386,3.795601,427.207601,444.92605,439.28705,10982,10982,289.880115024363,284.009569798599,421.298510999954,295.995513408651,286.944842411481,358.6470122043025,2.935272612882045,62.65149879565149,-0.046816562332308,274.7,399.1,-14.12460387042243,39.83561161554452,42.26559342161018,1.9115386307968767,7,1,0,0,2,0,0,1,0,1,0,0,1,0,0,14,0,2,4,0,0,3,4,3,0,2,0,1,0,1,0,0,0,6,0,0,0,2,0,0,11,6,1,0,1,0,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,0,0,1
61,215,216,2,50,44,1485055,33.674717,155.381717,173.1307,167.4917,4187,4187,267.839193291213,263.991651546088,409.265148417297,417.995983556911,265.9154224186505,413.630565987104,1.9237708725625,-4.3654175698069935,-2.7265126377621334,349.0,395.7,-68.79863567032132,49.91292376120201,84.99736600912509,2.5139614367316256,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,7,0,2,1,0,0,1,5,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
62,304,305,3,56,44,1620457,36.745057,218.738057,236.48025,230.84125,5771,5771,407.293385506101,411.753794138538,421.812852356212,298.918622668446,409.52358982231954,360.365737512329,-2.2302043162185328,61.44711484388296,0.0362787709202903,349.0,395.7,-59.20216271154324,37.50625228950463,70.08291539689264,2.576884038867977,5,0,1,0,2,0,2,1,0,1,1,0,3,0,3,7,0,2,2,1,1,1,3,1,0,5,0,0,1,2,0,0,1,5,1,2,2,0,1,5,2,7,3,2,3,0,4,1,1,1,1,3,0,1,1,1,2,6,0,1,2,1,0,1
63,353,354,4,22,44,668624,15.161542,257.529542,275.2687,269.6297,6741,6741,376.240761046846,391.050519537673,89.5330881693825,93.2699695754188,383.6456402922595,91.40152887240065,-7.404879245413497,-1.868440703018152,1.817962602642302,349.0,395.7,303.5270306082345,-40.85610862530676,306.2643954524506,-0.1338003009241732,1,0,0,0,1,0,2,0,0,1,3,0,1,0,1,0,0,1,1,3,0,3,3,1,2,2,1,5,0,1,0,0,0,4,0,0,0,2,0,0,1,4,2,0,2,1,0,2,0,0,0,0,1,6,0,0,4,4,2,0,1,0,0,7
64,415,416,5,1,44,57815,1.310998,303.991998,321.7902,316.1512,7904,7904,239.773511357421,245.244339606153,429.201056933729,297.852139178774,242.508925481787,363.5265980562515,-2.7354141243660024,65.67445887747749,0.0416270495879111,349.0,395.7,107.737720418111,27.71390163413552,111.24512009377128,0.2517763031639715,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,7,3,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,2,0,0,0,0
65,429,430,5,15,44,432471,9.806599,312.487599,330.2858,324.6468,8116,8116,235.316321968765,224.786732184294,434.528646204078,301.415660365294,230.0515270765295,367.972153284686,5.2647948922355,66.55649291939199,-0.0789382777791261,349.0,395.7,116.39155036207936,37.02134112380433,122.13751550729016,0.3079565503255552,1,0,0,1,3,0,0,1,1,0,0,1,2,0,0,6,0,3,5,0,0,0,2,1,0,0,0,1,0,0,0,1,0,2,0,1,1,0,1,2,2,7,0,0,0,0,0,0,0,0,1,1,0,3,0,0,1,2,0,1,0,0,0,0
66,432,433,5,18,44,525372,11.913197,314.594197,332.3924,326.7534,8169,8169,239.949208104511,205.597266608913,429.446185473045,295.723039716869,222.773237356712,362.584612594957,17.175970747799,66.861572878088,-0.2514513977954431,349.0,395.7,114.01778504180128,63.48046301463658,130.49836968480122,0.5080178823033781,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,7,3,0,2,0,0,1,1,0,0,0,0,1,0,1,0,0,0,5,0,0,0,0,1,0,0,5,1,0,0,0,0,0,0,1,2,1,0,1,0,0,0,3,0,0,0,0,0,0
67,520,521,6,23,44,701772,15.913197,379.015197,396.7645,391.1255,9778,9778,326.5840008906,326.99308927677,353.871673640406,343.631863578186,326.788545083685,348.75176860929605,-0.2045441930849847,5.119905031109965,0.0399295443983136,349.0,395.7,24.06787403642484,46.02415235049267,51.93731953243807,1.0889655238391516,0,0,4,0,4,0,0,1,0,0,0,0,2,0,0,15,0,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,3,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0
68,552,553,6,55,44,1594094,36.147256,399.249256,416.9986,411.3596,10284,10284,316.569492700806,310.824874306501,410.600969078533,401.799313031082,313.6971835036535,406.2001410548076,2.872309197152504,4.400828023725467,-0.5782532182023447,349.0,395.7,35.30221491022319,10.502163452260003,36.83126137869257,0.2891552529160904,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,13,0,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
69,562,563,6,65,44,1877352,42.57034,405.67234,423.4217,417.7827,10445,10445,309.125658282861,300.19423840776,410.983484467319,295.365505589277,304.6599483453105,353.174495028298,4.465709937550514,57.80898943902099,-0.0770962899390159,349.0,395.7,40.93303011630797,45.81425323342298,61.43662388053874,0.841608351951666,4,1,7,0,4,0,0,0,0,0,0,0,3,0,0,15,0,4,7,0,0,6,3,0,0,0,1,0,2,0,0,0,0,2,0,0,2,0,0,1,4,6,1,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,1,0,0,0,0
70,581,582,7,1,44,59268,1.343946,424.755946,442.4744,436.8354,10921,10921,300.139806733352,297.561230423853,412.392333096902,292.642808281618,298.8505185786025,352.51757068926,1.2892881547494994,59.87476240764204,-0.0215297545861001,349.0,395.7,49.20822368487215,44.25204413122338,66.17924665642661,0.7324179865158305,2,0,0,0,0,0,0,2,0,0,0,0,5,0,0,3,0,3,5,0,0,1,4,0,0,0,1,0,2,1,0,0,0,4,0,0,1,0,2,1,2,4,0,0,0,0,0,0,0,0,3,3,0,1,0,0,0,1,0,0,0,0,0,0
71,600,601,7,20,44,619290,14.042857,437.454857,455.1733,449.5343,11238,11238,291.028348897234,283.157882586914,439.441798588896,298.848740717943,287.093115742074,369.1452696534195,3.935233155160006,70.29652893547649,-0.0559221083078262,349.0,395.7,60.32588670653365,29.973378444451537,67.36182911934507,0.4611305724215947,0,1,1,0,0,0,0,2,0,0,0,0,1,0,0,0,2,1,2,0,0,1,3,1,0,0,3,0,1,0,0,0,0,3,0,0,0,0,1,0,5,9,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,1,0,0,0,1,0,0
72,656,657,7,76,44,2240765,50.810998,474.222998,491.9416,486.3026,12158,12158,316.015850534847,316.184011633217,410.657863023195,417.390927041188,316.099931084032,414.0243950321915,-0.0840805491849892,-3.3665320089965007,3.1166224251327006,349.0,395.7,-33.347329432197824,17.497245717875746,37.65896955535624,2.658383165077576,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,0,0,2,6,1,0,0,0,0,0,3,0,0,0,2,0,0,0,1,0,1,5,8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,806,807,9,60,44,1771221,40.163741,584.146741,601.85265,596.21365,14905,14905,382.064362239994,386.61256268537,73.6677680408875,81.517669421398,384.338462462682,77.59271873114275,-2.2741002226879914,-3.924950690255258,2.6164610357980203,349.0,395.7,190.0526208922877,-257.52873745945834,320.064133144422,-0.9350285757153984,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0
74,223,224,2,58,7,1720433,39.012086,160.719086,178.4681,172.8291,4321,4321,267.826966880992,262.688619744276,409.503510147852,297.608542421981,265.257793312634,353.55602628491647,2.5691735683579964,55.94748386293554,-0.0458889257365371,345.8,339.0,81.12514494262717,-10.846004670628547,81.84696059889801,-0.1329066034235497,1,1,0,0,2,0,0,0,0,0,0,0,2,0,0,7,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
75,224,225,2,59,7,1754792,39.791202,161.498202,179.2472,173.6082,4340,4340,269.710126849397,267.811438041617,410.684073285929,297.100065558185,268.760782445507,353.89206942205703,0.9493444038899952,56.79200386387197,-0.0167146064409,345.8,339.0,77.27735976054328,-13.602368967184942,78.46537308316242,-0.1742352871644517,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,3,2,0,0,1,2,0,0,0,0,0,0,1,1,0,0,9,0,0,0,0,0,0,6,7,1,0,0,0,0,0,0,0,3,1,0,0,0,0,1,2,0,0,0,0,0,0
76,231,232,2,66,7,1919465,43.525283,165.232283,182.9813,177.3423,4434,4434,267.794354173371,268.39608160758,409.70263412225,295.727227571779,268.0952178904755,352.7149308470145,-0.3008637171045052,56.9877032752355,0.0052794007228982,345.8,339.0,77.63129293592418,-14.124972492851024,78.9058457329181,-0.1799805824156324,0,1,1,0,1,0,0,1,0,0,0,0,2,0,0,8,0,1,2,0,0,1,2,0,0,0,0,0,3,2,0,0,0,5,0,0,1,0,0,0,2,5,2,0,0,0,0,0,0,0,4,0,0,2,0,0,0,4,0,0,0,0,0,0
77,248,249,2,83,7,2392595,54.253855,175.960855,193.7099,188.0709,4702,4702,263.391157218371,259.831225870485,411.217101676994,301.928661029445,261.61119154442804,356.5728813532195,1.779965673942968,54.644220323774505,-0.0325622091637374,345.8,339.0,84.71629053343159,-14.82267676496136,86.00326521838177,-0.1732150391421272,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,9,0,1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
78,354,355,4,23,7,692322,15.698912,258.066912,275.8061,270.1671,6754,6754,380.624882598966,380.305937371834,89.1144074100881,96.1120108299376,380.4654099854,92.61320912001284,0.1594726135659812,-3.4988017099247486,-3.096044968599084,345.8,339.0,23.410989875997885,-247.70964236908569,248.8134670181548,-1.4765664142339077,0,1,0,1,1,0,0,0,2,0,0,1,2,0,0,5,0,2,1,0,0,2,10,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,3,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0
79,553,554,6,56,7,1632088,37.008798,400.110798,417.86015,412.22115,10306,10306,317.694237626634,312.749803673085,406.304379938349,292.608036359837,315.2220206498595,349.45620814909296,2.4722169767745186,56.848171789256014,-0.0434606807889508,345.8,339.0,31.00339646117392,-9.117813217326136,32.31632884463795,-0.2860267186049637,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,13,0,0,6,0,0,1,2,2,0,0,1,0,0,2,0,0,0,1,0,0,0,0,1,2,5,5,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,4,0,0,0,0,0,0
80,762,763,9,16,7,485972,11.019773,555.002773,572.7086,567.0696,14177,14177,238.120032456586,234.335607383516,210.795728144846,294.448935407533,236.227819920051,252.6223317761895,1.8922125365349984,-41.82660363134349,-3.096384028387801,345.8,339.0,-113.3639118276061,-81.33749264882837,139.52477993265376,-2.5192245109062426,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,6,6,1,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,1,7,2,0,0,0,0,0,0,0,10,1,0,3,0,0,0,1,0,0,0,1,0,0
