Unnamed: 0,index,Global_Idx,Block,Local_Idx,Speaker,Pulse_Samp,Pulse_Time,EstimatedTimeOut,MCS_Time,est_frame_time,closest_frame,frame,blue_x,red_x,blue_y,red_y,head_x,head_y,blue_zero_x,blue_zero_y,head_angle,speak_xpix,speak_ypix,h2s_x,h2s_y,h2s_distance,h2s_theta,A11,B30,B19,B16,A25,A13,B06,A28,A04,B21,B26,B11,A14,A02,A17,B29,B17,B01,A27,B32,A23,A24,A03,B13,B15,B10,B07,B08,A21,B02,A09,A16,A12,A18,A07,B03,A15,A26,B28,B04,B12,A19,B20,B22,A30,B05,B27,A01,B23,B25,A06,A29,A10,A08,A05,B18,A32,A31,B14,B09,A22,B31,A20,B24
43,70,71,0,71,8,2053703,46.569229,47.605229,59.59865,53.88465,1347,1347,324.766950314521,314.651807514571,446.311124049702,451.392447485048,319.709378914546,448.851785767375,5.057571399975018,-2.540661717673004,-2.0363207036812194,344.6,277.3,142.12313881253502,99.25004600536909,173.34808397555184,0.6096099289139192,0,0,0,2,0,1,1,0,0,0,0,9,0,4,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0
44,76,77,0,77,8,2238293,50.754943,51.790943,63.7844,58.0704,1452,1452,237.948990486402,229.87835559571,446.101231396901,440.360948241872,233.913673041056,443.2310898193865,4.03531744534601,2.8701415775145165,-0.9525562358440722,344.6,277.3,199.37121251147371,-5.9757146866576,199.4607468759494,-0.0299638353477997,1,2,0,0,0,2,1,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,1,1,2,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
45,84,85,1,2,8,82724,1.875828,64.320828,76.02025,70.30625,1758,1758,407.10850892961,401.528955274439,429.301771180962,430.589223463239,404.3187321020245,429.94549732210055,2.789776827585513,-0.6437261411385293,-1.797571858405707,344.6,277.3,162.1641967888706,-23.869396649375474,163.91148470008065,-0.1461433621583239,1,11,5,4,0,3,4,0,4,9,19,7,0,0,1,23,7,4,0,5,0,0,0,26,7,6,5,4,0,7,1,0,1,0,0,3,0,1,9,4,19,0,4,8,0,11,27,0,28,20,2,0,0,0,4,4,0,1,2,25,0,15,0,5
46,99,100,1,17,8,463632,10.513197,72.958197,84.65765,78.94365,1974,1974,320.5,320.5,240.5,240.5,320.5,240.5,0.0,0.0,-1.5707963267948966,344.6,277.3,-36.80000000000002,24.10000000000002,43.98920322079047,2.561786587792138,2,0,0,0,1,2,0,0,0,0,0,9,1,0,0,0,1,1,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,3,0,1,0,0,0,0,5,0,1,0,3,0,0,2,0,0,0,0,0,0
47,10,11,0,11,40,316842,7.184626,8.220626,20.0282,14.3142,358,358,380.441880786502,387.996180431507,386.593168120141,393.268321647518,384.2190306090045,389.9307448838295,-3.777149822502509,-3.337576763688503,2.294489375140123,270.8,282.1,-5.703474241568465,156.39314699840136,156.49711194296148,1.607248996708746,1,0,0,0,0,3,2,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,2,0,2,0,0,0,2,1,0,5,0,0,0,0,0,2,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0
48,33,34,0,34,40,991765,22.489002,23.525002,35.4255,29.7115,743,743,193.999641248823,184.755565769771,431.763294194297,426.084926620643,189.377603509297,428.92411040747,4.622037739526007,2.839183786826993,-1.0199494687166135,270.8,282.1,167.72333500457648,-7.470538278918715,167.88962459673968,-0.0445114206540107,3,0,0,1,1,3,3,0,1,1,0,9,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,2,1,6,0,0,0,0,0,0
49,63,64,0,64,40,1850019,41.950544,42.986544,54.97995,49.26595,1232,1232,315.692380110392,317.923316826257,286.228381951483,276.223848476113,316.8078484683245,281.22611521379804,-1.1154683579325138,5.002266737684977,0.2194029301744078,270.8,282.1,-44.71473039220254,10.86640148607172,46.01614711494067,2.903197752607064,4,1,0,1,1,6,2,1,1,0,0,10,1,3,0,0,1,1,1,0,1,1,4,1,0,0,0,0,3,0,2,1,0,3,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,4,3,0,0,0,0,0,0
50,66,67,0,67,40,1945343,44.112086,45.148086,57.1415,51.4275,1286,1286,302.44823086317,295.706104975277,341.246108228333,336.934604777914,299.0771679192235,339.0903565031236,3.3710629439465265,2.155751725209484,-1.0018469858243448,270.8,282.1,32.778276962447734,-54.52598939274869,63.61995724523142,-1.0295319577439512,0,1,0,2,0,0,0,0,1,2,0,6,2,2,2,0,2,0,0,0,0,0,0,0,0,4,0,3,0,1,0,0,0,0,2,1,0,1,0,0,0,1,0,1,1,2,0,3,0,0,3,0,0,0,5,0,0,1,0,0,0,0,0,1
51,74,75,0,75,40,2183386,49.509887,50.545887,62.53935,56.82535,1421,1421,240.076932847877,230.410256116473,446.936042711802,441.767881513074,235.243594482175,444.351962112438,4.833338365701991,2.584080599364029,-1.0798247333591635,270.8,282.1,159.85021755847615,-45.142719559103206,166.10224918008788,-0.2752387315279954,0,0,0,0,1,3,1,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,2,0,2,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
52,78,79,0,79,40,2296350,52.071429,53.107429,65.1009,59.3869,1485,1485,235.951581950132,228.819040037889,446.554397547898,440.589127031335,232.38531099401047,443.5717622896165,3.5662709561214854,2.9826352582815048,-0.874282912133115,270.8,282.1,148.50718133674653,-74.12445911948353,165.9783671095161,-0.4629517425461853,0,0,0,0,1,3,1,0,0,0,0,7,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0,1,0,1,2,2,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,1,1,0,0,2,3,0,0,0,0,0,0
53,13,14,0,14,39,387935,8.796712,9.832712,21.64025,15.92625,398,398,382.312051684502,393.015887971032,383.236021696686,385.960234502576,387.663969827767,384.598128099631,-5.351918143264982,-1.3621064029450167,1.8200133661806923,272.7,338.6,-16.221735613824773,122.75747407349564,123.82464273007125,1.7021796947075003,1,0,0,0,0,2,3,0,1,0,0,6,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1,0,0,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
54,16,17,0,17,39,491739,11.150544,12.186544,24.087,18.373,459,459,409.466032285003,400.187537799613,422.850037906253,423.410055039468,404.826785042308,423.1300464728605,4.639247242695035,-0.2800085666074778,-1.6310796612576088,272.7,338.6,92.3367182714516,-126.79411083003338,156.85284849922303,-0.9413667808770008,0,2,1,2,0,2,1,0,3,5,10,3,0,1,1,6,2,1,0,2,0,0,0,9,0,2,1,7,0,3,0,0,1,0,0,1,0,1,1,3,7,0,3,0,0,2,7,1,7,6,0,0,0,0,1,1,0,2,0,4,0,0,0,0
55,17,18,0,18,39,519314,11.775828,12.811828,24.7123,18.9983,475,475,401.079578717222,390.676076040254,422.830011319707,422.01117849429,395.877827378738,422.4205949069985,5.20175133848403,0.4094164127084809,-1.492250835245913,272.7,338.6,73.8970488076418,-129.3750187085216,148.99217861454778,-1.0518339710642814,1,0,0,0,0,2,2,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,1,0,0,0,1,3,0,0,0,0,0,0
56,25,26,0,26,39,762930,17.3,18.336,30.23645,24.52245,613,613,368.923971579057,372.140083674947,148.570731892991,139.629781146269,370.532027627002,144.10025651963002,-1.608056047944956,4.470475373360983,0.3452951352212752,272.7,338.6,-26.22436534591068,216.1331499463801,217.71829469187975,1.6915404073600913,0,1,0,1,0,4,1,0,0,2,0,9,1,0,1,0,1,0,0,2,0,0,0,0,1,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,0,0,2,0,0,2,0,0,0,0,0,0
57,44,45,0,45,39,1304052,29.57034,30.60634,42.50685,36.79285,920,920,410.053830900853,290.227855154086,431.943776135322,428.775032254545,350.1408430274695,430.3594041949335,59.912987873383486,1.5843719403885077,-1.5443579396117917,272.7,338.6,89.68016420646505,-79.8394675265048,120.07028119819805,-0.7274127551187879,2,0,0,0,1,3,1,0,0,2,18,7,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,1,1,4,0,0,0,0,0,0,0,0,3,2,10,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0
58,62,63,0,63,39,1813964,41.132971,42.168971,54.1624,48.4484,1211,1211,364.086004817796,367.872458554559,271.364880945334,262.507006123799,365.9792316861775,266.9359435345665,-1.8932268683815323,4.428937410767503,0.4039587968769358,272.7,338.6,-57.6030002248698,102.56045250552516,117.62972436014816,2.0825392776679057,2,0,0,0,0,1,0,0,1,0,0,5,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,1,2,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,5
59,82,83,0,83,39,2394291,54.292313,55.328313,67.32175,61.60775,1540,1540,387.730741263898,386.139702536497,409.243948616291,418.711031275404,386.9352219001975,413.97748994584754,0.7955193637005209,-4.7335413295565445,-2.9750885237736044,272.7,338.6,125.1481217173512,55.40216190495415,136.8628945811234,0.4167605954632196,3,2,0,1,2,4,0,7,3,0,0,6,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,2,1,0,0,3,0,0,1,0,0,0,0,0,1
60,97,98,1,15,39,419386,9.509887,71.954887,83.6543,77.9403,1949,1949,320.5,320.5,240.5,240.5,320.5,240.5,0.0,0.0,-1.5707963267948966,272.7,338.6,-98.1,-47.80000000000004,109.12584478481716,-2.6881905877177825,2,3,0,0,0,4,0,0,0,0,0,8,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,3,0,2,0,0,0,0,0,0
61,18,19,0,19,21,553915,12.560431,13.596431,25.4969,19.7829,495,495,401.18350895849,390.665944290952,423.818071612057,423.033739953667,395.92472662472096,423.425905782862,5.258782333769034,0.3921658291949939,-1.496360602211273,268.5,160.5,252.72165282536952,-146.6248924307762,292.17647558816793,-0.525720971520149,5,0,0,0,0,3,0,0,0,0,0,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,2,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3,0,3,0,3,0,0,2,0,0,0,0,0,0
62,22,23,0,23,21,681902,15.46263,16.49863,28.3991,22.6851,567,567,369.506925973137,375.368134782997,149.638999307153,145.039222717544,372.437530378067,147.3391110123485,-2.9306044049299658,2.299888294804504,0.9054032075660744,268.5,160.5,-53.81441957987532,89.8900854672973,104.76745305693406,2.110236674186692,4,4,0,1,2,3,0,1,0,0,0,4,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,2,3,0,2,1,3,1,2,2,0,2,0,0,0,1,0,2,1,0,0,1,0,0,1,0,1,1,0,1,1,3,0,0,3,0,3,0
63,29,30,0,30,21,891402,20.213197,21.249197,33.14965,27.43565,686,686,234.60505547348,226.721547540146,338.727383071056,340.100056746819,230.663301506813,339.41371990893754,3.941753966666994,-0.6863368378815267,-1.7431876794717729,268.5,160.5,169.77128912283567,67.96649405470775,182.8708148516818,0.3808007466593632,2,3,0,4,2,0,0,3,0,2,0,7,0,0,4,0,1,1,1,1,3,0,0,0,1,0,0,1,5,0,6,1,0,0,0,1,2,0,1,0,0,1,2,2,1,0,0,2,0,0,1,4,0,0,0,1,2,7,0,0,0,0,0,1
64,31,32,0,32,21,936616,21.238458,22.274458,34.17495,28.46095,712,712,228.31218615448,220.049469002012,404.279585626905,399.842848755,224.180827578246,402.0612171909525,4.131358576233993,2.2183684359525278,-1.0780208260543116,268.5,160.5,233.78724937525064,-75.22986590761688,245.59318128751795,-0.3113237637250066,1,0,0,3,1,3,1,1,0,1,0,5,1,0,0,0,0,0,1,0,0,2,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,2,0,0,0,0,0,0,1,0,2,1,2,3,2,3,0,0,0,0,0,0
65,48,49,0,49,21,1417742,32.148345,33.184345,45.08485,39.37085,984,984,403.557463010476,408.724323802341,403.746793853517,412.746047134076,406.1408934064085,408.2464204937965,-2.58343039593251,-4.499626640279473,2.6204024603007943,268.5,160.5,-3.990154713082187,283.3855731517908,283.413663053148,1.5848756993288884,0,0,0,0,0,2,3,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,7,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0
66,52,53,0,53,21,1530706,34.709887,35.745887,47.7393,42.0253,1051,1051,384.464185667575,398.380454347712,305.186488896544,315.145256071646,391.4223200076435,310.16587248409496,-6.958134340068511,-4.979383587550956,2.191929100652727,268.5,160.5,-50.17577275770773,187.0619201511996,193.6743920669093,1.8328584608050773,3,2,1,0,0,2,0,0,1,0,0,6,0,0,0,1,0,0,0,3,0,0,1,0,0,0,2,0,0,0,2,0,1,0,0,1,0,0,2,0,0,0,2,0,0,3,2,1,2,1,1,0,0,0,0,0,0,2,0,0,0,1,0,1
67,19,20,0,20,29,590940,13.4,14.436,26.33645,20.62245,516,516,396.307365171584,405.585330776604,372.871944942145,372.53832508936,400.946347974094,372.7051350157525,-4.638982802509986,0.1668099263924887,1.5348535147212856,267.0,101.0,-276.34301978394745,124.0960915831526,302.9278866818395,2.7195162047276185,2,0,0,0,0,1,1,0,0,0,0,5,0,2,0,0,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,1,3,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
68,20,21,0,21,29,610761,13.849456,14.885456,26.7859,21.0719,527,527,383.470550653537,391.979120839148,321.023108950239,316.049760231968,387.7248357463425,318.5364345911035,-4.254285092805503,2.4866743591355203,1.0418440186557063,267.0,101.0,-248.7283536869665,-5.549091165418088,248.79024567010424,-3.119286508312169,1,0,0,0,1,2,0,1,0,0,0,6,0,1,0,0,1,0,0,2,0,0,0,0,2,0,0,0,3,0,5,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,0,0,4,0,0,6,0,0,0,0,0,0
69,32,33,0,33,29,964918,21.880227,22.916227,34.8167,29.1027,728,728,221.667399837757,215.322705636312,410.189632214094,402.08375008213,218.49505273703448,406.136691148112,3.1723471007225044,4.052941065981997,-0.6641196336677725,267.0,101.0,226.27161008329176,-210.3860467429248,308.967846537146,-0.7490342969107856,3,1,0,1,5,2,0,0,0,0,0,5,2,0,0,0,7,3,1,0,1,1,2,0,0,1,1,3,0,0,5,2,0,0,0,0,1,0,0,0,0,5,0,0,4,1,0,2,0,0,2,3,0,8,0,0,2,4,0,0,0,0,0,0
70,34,35,0,35,29,1014736,23.009887,24.045887,35.94635,30.23235,756,756,185.654990066692,177.656921695326,437.3827344397,430.057730628124,181.655955881009,433.720232533912,3.9990341856830014,3.66250190578802,-0.8292948560739072,267.0,101.0,303.00732085321465,-161.78047630465727,343.4914249351864,-0.4904109000109286,3,1,0,0,0,2,1,1,8,0,1,8,0,4,0,0,0,1,0,0,0,0,1,0,1,0,0,1,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,1,2,0,0,0,0,0,1,4,0,0,0,0,0,0
71,49,50,0,50,29,1448709,32.850544,33.886544,45.78705,40.07305,1002,1002,398.912303327213,404.148681348976,322.217183234552,328.345714839308,401.5304923380945,325.28144903693,-2.618189010881508,-3.0642658023779745,2.434534553336241,267.0,101.0,-43.41287900815432,257.9068507951243,261.53512527160694,1.7375607533877568,2,0,0,0,0,1,1,0,0,0,0,7,0,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,1,0,4,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0
72,53,54,0,54,29,1569669,35.593401,36.629401,48.6228,42.9088,1073,1073,397.238623463363,403.249051018571,312.937768454025,321.974412692138,400.24383724096697,317.4560905730815,-3.005213777603956,-4.518322119056506,2.5546635217713254,267.0,101.0,-8.929981178546353,254.02246897672296,254.17938411460392,1.6059361524558593,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,3,0,0,0,0,0,1,2,0,0,0,0,0,1
73,71,72,0,72,29,2084428,47.265941,48.301941,60.2954,54.5814,1365,1365,293.637330008433,285.731961729223,439.871294115473,429.900667544376,289.684645868828,434.8859808299245,3.952684139605026,4.9853132855485,-0.6703756234238356,267.0,101.0,189.6613797272893,-275.7226911099191,334.6557056931121,-0.968257747352147,1,4,0,1,0,2,1,0,0,2,0,9,0,4,0,0,2,1,0,3,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,3,0,0,0,0,1,0
74,126,127,1,44,29,1237950,28.071429,90.516429,102.2159,96.5019,2413,2413,320.5,320.5,240.5,240.5,320.5,240.5,0.0,0.0,-1.5707963267948966,267.0,101.0,139.5,-53.49999999999999,149.4071618096,-0.3662127577085499,1,3,0,0,0,2,4,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1
75,35,36,0,36,30,1038434,23.547256,24.583256,36.48375,30.76975,769,769,190.78866293763,190.31282851642,435.980689396547,423.082123775929,190.550745727025,429.531406586238,0.2379172106049907,6.4492828103090005,-0.0368737699684325,336.1,102.1,157.52121016689347,-321.84309808665904,358.3237522666638,-1.1156365505123615,1,2,0,1,3,3,0,3,1,0,0,5,1,4,4,0,0,2,0,1,7,0,2,0,0,0,0,0,6,0,3,8,2,1,1,1,3,2,0,0,0,5,0,0,2,3,0,7,0,0,4,4,2,4,3,0,2,2,0,0,0,0,0,1
76,36,37,0,37,30,1076670,24.414286,25.450286,37.3508,31.6368,791,791,206.620782803833,201.367037829284,418.956143625277,411.031753041185,203.9939103165585,414.993948333231,2.626872487274511,3.962195292045976,-0.5854488006199433,336.1,102.1,283.0025962703831,-187.7875723769566,339.63898750733574,-0.5858447494438966,2,0,0,0,1,5,0,1,1,0,0,6,0,1,2,0,0,0,3,2,2,2,0,0,1,0,0,0,0,0,4,0,1,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,2,3,0,0,0,0,0,0
77,40,41,0,41,30,1168068,26.486803,27.522803,39.4233,33.7093,843,843,417.598030510404,290.508115662913,403.923147232598,422.83251715371,354.0530730866585,413.377832193154,63.54495742374547,-9.454684960555994,-1.718500084929235,336.1,102.1,310.5306249148684,28.05231965641336,311.79512768503014,0.0900921835452817,0,0,0,0,0,2,0,0,2,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0
78,59,60,0,60,30,1732694,39.290113,40.326113,52.31955,46.60555,1165,1165,438.711654011602,445.373258391263,339.080849038459,349.970028787992,442.0424562014325,344.5254389132255,-3.330802189830536,-5.444589874766507,2.592568280069155,336.1,102.1,-36.13846041043982,262.0837826677293,264.5635981352357,1.7078212126031307,0,0,0,0,0,0,4,0,1,0,0,6,1,3,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,0,1,1,0,0,0,0,0,0
79,61,62,0,62,30,1780574,40.375828,41.411828,53.40525,47.69125,1192,1192,390.203252124769,396.697750739642,293.607807532455,288.496682146522,393.4505014322055,291.0522448394885,-3.2472493074365048,2.5555626929665323,0.904036914208246,336.1,102.1,-183.952323101568,-71.78839509240855,197.4639988565192,-2.7695148806282583,3,0,0,1,0,1,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,1,0,0,3,0,0,0,0,0,0
80,75,76,0,76,30,2201995,49.931859,50.967859,62.9613,57.2473,1431,1431,234.52909050747,226.384085761493,437.999263820808,432.246078383453,230.45658813448148,435.1226711021305,4.0725023729885095,2.8765927186775,-0.95582448590836,336.1,102.1,332.95892238100663,-105.8441587687492,349.3774891697881,-0.3077873505415099,3,0,0,0,0,2,2,1,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,1,0,0,1,1,5,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0
81,39,40,0,40,44,1148975,26.053855,27.089855,38.99035,33.27635,832,832,353.296815977411,350.843316999898,409.044934571196,415.399087749391,352.07006648865445,412.2220111602935,1.226749488756525,-3.17707658909751,-2.7731041914271133,349.0,395.7,8.815305528102582,14.307080396496923,16.804825527973282,1.0185864879730595,0,2,0,0,0,4,1,0,0,0,0,5,1,5,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
82,47,48,0,48,44,1384837,31.4022,32.4382,44.3387,38.6247,966,966,408.417372069668,401.419058012798,432.145266423102,436.012675243248,404.918215041233,434.078970833175,3.499157028434979,-1.9337044100730052,-2.075648883776426,349.0,395.7,60.6374655869039,-30.379103719634625,67.82176771222697,-0.4644437752679167,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1
83,56,57,0,57,44,1657724,37.590113,38.626113,50.61955,44.90555,1123,1123,426.004329798701,434.45391064575,328.673949030741,337.802876275507,430.2291202222255,333.238412653124,-4.224790423524496,-4.564463622382959,2.3948216868400274,349.0,395.7,102.041363522815,9.337022885958085,102.46765277866076,0.091248235707503,1,1,0,1,0,2,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,0,0,2,1,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,1,2,0,5,0,0,0,0,0,0
84,58,59,0,59,44,1697850,38.5,39.536,51.5294,45.8154,1145,1145,439.749461320269,446.522678343337,336.99280855823,345.968880387525,443.136069831803,341.4808444728775,-3.386608511534007,-4.488035914647469,2.495163038924855,349.0,395.7,107.80150488189544,13.422071920946646,108.63386428481864,0.1238698233532038,2,0,0,0,0,1,0,0,0,0,0,8,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,2
85,64,65,0,65,44,1887528,42.801088,43.837088,55.8305,50.1165,1253,1253,305.039949942564,312.355819226198,278.17882101605,271.850100834115,308.697884584381,275.0144609250825,-3.657934641816951,3.1643600909674774,0.857619625517617,349.0,395.7,117.64018770880574,48.47727389833572,127.23702231967437,0.3908773650800676,1,3,0,2,0,2,2,0,0,1,0,6,0,0,0,0,4,2,0,1,0,0,0,0,1,2,1,0,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,0,3,1,0,0,0,1,0,0,0,1,2,0,2,0,0,0,0,0,0
86,79,80,0,80,44,2317867,52.559342,53.595342,65.5888,59.8748,1497,1497,236.107520995817,228.341230620611,446.826594291723,442.735179199679,232.224375808214,444.78088674570097,3.883145187602992,2.0457075460220158,-1.0859258602021369,349.0,395.7,97.8519844160039,80.43922547473771,126.67075372447091,0.6880422118817602,3,0,0,0,1,2,3,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
87,81,82,0,82,44,2362597,53.573628,54.609628,66.6031,60.8891,1522,1522,312.45938441365,311.630303290944,418.997658897798,425.739339037004,312.04484385229705,422.368498967401,0.4145405613529647,-3.370840069603048,-3.0192286377094577,349.0,395.7,-33.423710010530016,30.97980006725952,45.5729349842138,2.394123135792018,7,2,0,2,14,3,0,7,8,3,0,5,9,12,1,0,4,1,18,1,20,11,12,0,0,0,0,0,5,0,13,10,10,4,7,1,16,1,1,0,0,23,1,1,22,2,0,18,0,0,9,13,5,10,11,0,24,7,0,0,12,0,13,1
